state,county,no_of_kg_student,vax-rate
Ohio,Athens,576,0.93
MINNESOTA,BENTON,556,0.93
Ohio,Defiance,550,0.93
Ohio,Highland,550,0.93
Kentucky,Shelby,547,0.93
Tennessee,McMinn,519,0.93
Ohio,Putnam,510,0.93
Florida,Levy,478,0.93
Vermont,Windham,414,0.93
Kentucky,Marshall,407,0.93
Ohio,Van Wert,395,0.93
Ohio,Pike,370,0.93
MINNESOTA,BECKER,348,0.93
Kentucky,Carter,347,0.93
Virginia,Fredericksburg city,323,0.93
Tennessee,Lauderdale,305,0.93
IOWA,Crawford ,297,0.93
Virginia,Powhatan,277,0.93
Vermont,Orleans,275,0.93
Kentucky,Breckinridge,258,0.93
MINNESOTA,FILLMORE,244,0.93
South Dakota,Brookings,220,0.93
South Dakota,Lawrence,214,0.93
Florida,Union,191,0.93
Kentucky,Washington,179,0.93
Virginia,Nottoway,176,0.93
Idaho,Shelley,174,0.93
Tennessee,Polk,174,0.93
North Dakota,Richland,163,0.93
MINNESOTA,COTTONWOOD,160,0.93
MINNESOTA,SWIFT,156,0.93
Massachusetts,Nantucket,154,0.93
Kentucky,Monroe,153,0.93
Pennsylvania,Fulton,151,0.93
Kentucky,Leslie,148,0.93
North Dakota,Walsh,142,0.93
Virginia,Amelia,139,0.93
Virginia,Radford city,122,0.93
Wisconsin,Forest,111,0.93
Virginia,Essex,105,0.93
Arkansas,Monroe,103,0.93
Virginia,Richmond,101,0.93
South Dakota,Turner,100,0.93
North Dakota,Sioux,92,0.93
North Dakota,Bottineau,89,0.93
Virginia,Covington city,85,0.93
South Dakota,Custer,72,0.93
Idaho,Lapwai,45,0.93
Idaho,Ririe,41,0.93
Idaho,Plummer-Worley,29,0.93
Idaho,Hansen,28,0.93
Virginia,Lee,27,0.93
Idaho,Council,14,0.93
Virginia,Highland,14,0.93
Indiana,Blackford,0,0.93
Indiana,Cass,0,0.93
Indiana,Crawford,0,0.93
Indiana,Decatur,0,0.93
Indiana,Gibson,0,0.93
Indiana,Jennings,0,0.93
Indiana,Warren,0,0.93
Kansas,GRANT,0,0.93
Kansas,KEARNY,0,0.93
Kansas,KIOWA,0,0.93
Kansas,MARSHALL,0,0.93
Kansas,MORTON,0,0.93
Kansas,PAWNEE,0,0.93
Kansas,RENO,0,0.93
Kansas,TREGO,0,0.93
Maine,Franklin,0,0.93
MISSOURI,Henry,0,0.93
MISSOURI,Putnam,0,0.93
MISSOURI,Ste. Genevieve,0,0.93
MISSOURI,Vernon,0,0.93
MONTANA,Wibaux,0,0.93
North Carolina,Hertford,0,0.93
North Carolina,Tyrrell,0,0.93
North Dakota,Slope,0,0.93
South Carolina,Greenville,0,0.93
Texas,DALLAM,0,0.93
Texas,EASTLAND,0,0.93
Texas,FOARD,0,0.93
Texas,KARNES,0,0.93
Texas,ROBERTSON,0,0.93
Texas,WHEELER,0,0.93
Virginia,Rappahannock,0,0.93
West Virginia,Fayette,0,0.93
West Virginia,Mercer,0,0.93
Arizona,La Paz,179,0.927
California,ORANGE,42076,0.92
Florida,Dade,31156,0.92
Florida,Hillsborough,18065,0.92
Ohio,Franklin,16548,0.92
California,VENTURA,12163,0.92
Oregon,Multnomah,8894,0.92
New Jersey,Hudson,7646,0.92
Utah,Beaver,5208,0.92
Florida,Seminole,5193,0.92
Virginia,Chesterfield,4335,0.92
Tennessee,Hamilton,3545,0.92
Ohio,Lorain,3458,0.92
Florida,Sarasota,3284,0.92
Washington,BENTON,2866,0.92
Florida,St Johns,2665,0.92
Virginia,Richmond city,1954,0.92
California,SUTTER,1852,0.92
MINNESOTA,STEARNS,1836,0.92
Idaho,Boise,1826,0.92
Florida,Hernando,1760,0.92
Pennsylvania,Schuylkill,1474,0.92
Ohio,Allen,1460,0.92
Pennsylvania,Adams,1345,0.92
Massachusetts,Hampshire,1259,0.92
Ohio,Tuscarawas,1140,0.92
Ohio,Columbiana,1114,0.92
Ohio,Ashtabula,992,0.92
California,LAKE,845,0.92
Kentucky,Christian,831,0.92
Oregon,Josephine,821,0.92
Utah,Davis,672,0.92
Tennessee,Carter,600,0.92
MINNESOTA,BELTRAMI,587,0.92
Utah,Grand,561,0.92
Ohio,Auglaize,555,0.92
Ohio,Knox,534,0.92
Tennessee,Jefferson,517,0.92
Idaho,Jefferson,448,0.92
Kentucky,Perry,401,0.92
Utah,Park City,364,0.92
Pennsylvania,Clinton,362,0.92
Pennsylvania,Jefferson,352,0.92
Pennsylvania,Elk,296,0.92
Ohio,Jackson,295,0.92
Virginia,Manassas Park city,293,0.92
Idaho,Lakeland,276,0.92
Pennsylvania,Wyoming,239,0.92
MINNESOTA,WADENA,237,0.92
MINNESOTA,HUBBARD,188,0.92
Idaho,Emmett,176,0.92
Oregon,Curry,164,0.92
Oregon,Baker,151,0.92
Kentucky,Trigg,142,0.92
Kentucky,Bracken,136,0.92
MINNESOTA,POPE,114,0.92
Idaho,Fruitland,113,0.92
Tennessee,Jackson,107,0.92
Idaho,Homedale,101,0.92
Kentucky,Wolfe,97,0.92
Kentucky,Lee,86,0.92
Idaho,Soda Springs,62,0.92
Idaho,New Plymouth,60,0.92
South Dakota,Clark,50,0.92
Idaho,Melba,49,0.92
Idaho,Potlatch,36,0.92
South Dakota,Jones,13,0.92
Idaho,Camas,12,0.92
Indiana,Fayette,0,0.92
Indiana,Lawrence,0,0.92
Indiana,Owen,0,0.92
Indiana,Spencer,0,0.92
Indiana,Vermillion,0,0.92
Indiana,Whitley,0,0.92
Kansas,DONIPHAN,0,0.92
Kansas,FINNEY,0,0.92
Kansas,HASKELL,0,0.92
Kansas,HODGEMAN‡,0,0.92
Kansas,MCPHERSON,0,0.92
Kansas,NEOSHO,0,0.92
Kansas,OTTAWA,0,0.92
Kansas,RAWLINS,0,0.92
MISSOURI,Benton,0,0.92
MISSOURI,St Louis,0,0.92
MONTANA,Carbon,0,0.92
MONTANA,Dawson,0,0.92
MONTANA,Judith Basin,0,0.92
South Carolina,Barnwell,0,0.92
South Carolina,Pickens,0,0.92
Texas,CASTRO,0,0.92
Texas,COLLINGSWORTH,0,0.92
Texas,STONEWALL,0,0.92
Arizona,Mohave,1817,0.915
California,ALAMEDA,20801,0.91
New Jersey,Essex,11384,0.91
Pennsylvania,Montgomery,10239,0.91
Florida,Pinellas,8592,0.91
MINNESOTA,RAMSEY,7241,0.91
Pennsylvania,Chester,7042,0.91
California,MONTEREY,6984,0.91
California,SONOMA,6552,0.91
Florida,Osceola,4547,0.91
Pennsylvania,Westmoreland,3628,0.91
New Jersey,Atlantic,3439,0.91
Pennsylvania,Erie,3352,0.91
Pennsylvania,Lackawanna,2313,0.91
Pennsylvania,Beaver,2226,0.91
California,EL DORADO,2195,0.91
Utah,South Summit,2018,0.91
Utah,Washington,2018,0.91
Ohio,Clark,1715,0.91
Ohio,Fairfield,1683,0.91
Kentucky,Daviess,1313,0.91
New Jersey,Hunterdon,1262,0.91
Idaho,Nampa,1161,0.91
Ohio,Erie,1095,0.91
Idaho,Bonneville,998,0.91
Ohio,Geauga,809,0.91
Idaho,Twin Falls,756,0.91
Pennsylvania,Venango,679,0.91
MINNESOTA,OTTER TAIL,632,0.91
Kentucky,Boyd,574,0.91
Washington,DOUGLAS,535,0.91
Ohio,Crawford,533,0.91
Tennessee,Lawrence,525,0.91
Vermont,Windsor,487,0.91
Kentucky,Clark,466,0.91
Utah,Box Elder,427,0.91
Vermont,Addison,348,0.91
Kentucky,Boyle,339,0.91
Kentucky,Clay,338,0.91
Ohio,Seneca,316,0.91
Virginia,Wythe,288,0.91
Kentucky,Rowan,280,0.91
Wisconsin,Ashland,227,0.91
Utah,Granite,221,0.91
Kentucky,Knott,218,0.91
Utah,Piute,216,0.91
IOWA,Appanoose ,183,0.91
Ohio,Hardin,183,0.91
MINNESOTA,RENVILLE,160,0.91
ALABAMA,CONECUH,134,0.91
Idaho,Snake River,119,0.91
Arkansas,Marion,108,0.91
MINNESOTA,JACKSON,104,0.91
Arkansas,Prairie,85,0.91
North Dakota,McHenry,85,0.91
North Dakota,Pembina,77,0.91
Vermont,Grand Isle,74,0.91
MINNESOTA,COOK,70,0.91
Nevada,pershing,53,0.91
Tennessee,Pickett,44,0.91
North Dakota,Kidder,23,0.91
South Dakota,Potter,23,0.91
Idaho,Challis,21,0.91
Idaho,Clark,10,0.91
California,ALPINE,0,0.91
Indiana,Brown,0,0.91
Indiana,Rush,0,0.91
Kansas,ANDERSON,0,0.91
Kansas,DICKINSON,0,0.91
Kansas,JACKSON,0,0.91
Kansas,STAFFORD,0,0.91
Kansas,STANTON‡,0,0.91
Kansas,WASHINGTON,0,0.91
Maine,Knox,0,0.91
MICHIGAN,Presque Isle,0,0.91
MISSOURI,Howell,0,0.91
MISSOURI,McDonald,0,0.91
MONTANA,Flathead,0,0.91
MONTANA,Musselshell,0,0.91
Texas,MONTAGUE,0,0.91
Texas,SHELBY,0,0.91
Arizona,Graham,605,0.909
California,LOS ANGELES,130146,0.9
Florida,Duval,12524,0.9
Tennessee,Shelby,11958,0.9
Pennsylvania,Bucks,6914,0.9
New Jersey,Camden,6663,0.9
California,SAN FRANCISCO,6560,0.9
Nebraska,Lincoln-Lancaster County,4325,0.9
Washington,YAKIMA,4191,0.9
Ohio,Mahoning,2401,0.9
Virginia,Newport News city,2331,0.9
Pennsylvania,Washington,2301,0.9
Ohio,Delaware,2283,0.9
Ohio,Trumbull,2240,0.9
Pennsylvania,Franklin,1636,0.9
Ohio,Greene,1546,0.9
Florida,Martin,1488,0.9
Washington,GRANT,1483,0.9
Ohio,Portage,1451,0.9
Pennsylvania,Centre,1033,0.9
Washington,LEWIS,854,0.9
Pennsylvania,Indiana,744,0.9
Kentucky,McCracken,672,0.9
Pennsylvania,Carbon,666,0.9
Ohio,Shelby,658,0.9
Ohio,Madison,575,0.9
Ohio,Mercer,571,0.9
Ohio,Preble,457,0.9
Pennsylvania,Perry,452,0.9
Virginia,Warren,370,0.9
Pennsylvania,Greene,369,0.9
Idaho,Kuna,367,0.9
Kentucky,Muhlenberg,355,0.9
California,DEL NORTE,331,0.9
Tennessee,Union,316,0.9
Vermont,Caledonia,285,0.9
MINNESOTA,HOUSTON,282,0.9
ALABAMA,BUTLER,281,0.9
Kentucky,Butler,176,0.9
ALABAMA,WILCOX,146,0.9
North Dakota,Benson,142,0.9
Kentucky,Metcalfe,135,0.9
Virginia,Nelson,132,0.9
MINNESOTA,AITKIN,129,0.9
Idaho,Mountain View,89,0.9
Idaho,Parma,80,0.9
North Dakota,Ransom,72,0.9
North Dakota,Grant,20,0.9
North Dakota,Steele,10,0.9
Indiana,De Kalb,0,0.9
Indiana,Floyd,0,0.9
Indiana,Jasper,0,0.9
Indiana,Knox,0,0.9
Indiana,Martin,0,0.9
Indiana,Orange,0,0.9
Indiana,Posey,0,0.9
Kansas,BARTON,0,0.9
Kansas,GEARY,0,0.9
Kansas,HARVEY,0,0.9
Kansas,NORTON,0,0.9
Kansas,SALINE,0,0.9
Kansas,SEWARD,0,0.9
Kansas,SHERMAN,0,0.9
Kansas,WABAUNSEE,0,0.9
Kansas,WYANDOTTE,0,0.9
Maine,Androscoggin,0,0.9
Maine,Kennebec,0,0.9
Maine,Waldo,0,0.9
MONTANA,McCone,0,0.9
South Carolina,Charleston,0,0.9
Texas,HUDSPETH,0,0.9
Texas,REAGAN,0,0.9
Texas,VAL VERDE,0,0.9
California,SACRAMENTO,19527,0.89
Florida,Palm Beach,15021,0.89
New Jersey,Ocean,8113,0.89
New Jersey,Monmouth,7626,0.89
Ohio,Montgomery,6186,0.89
New Jersey,Morris,6076,0.89
California,SAN LUIS OBISPO,2982,0.89
California,BUTTE,2735,0.89
Utah,Juab,2503,0.89
North Dakota,Cass,2165,0.89
Ohio,Richland,1458,0.89
Pennsylvania,Fayette,1406,0.89
Washington,COWLITZ,1304,0.89
Ohio,Wood,1259,0.89
Pennsylvania,Lycoming,1174,0.89
MINNESOTA,CLAY,899,0.89
Utah,San Juan,770,0.89
Utah,Uintah,770,0.89
Pennsylvania,Armstrong,684,0.89
Ohio,Huron,590,0.89
Pennsylvania,McKean,474,0.89
Ohio,Darke,457,0.89
MINNESOTA,MILLE LACS,439,0.89
Pennsylvania,Wayne,359,0.89
Tennessee,Claiborne,323,0.89
Utah,Iron,235,0.89
Massachusetts,Dukes,189,0.89
North Dakota,Ramsey,189,0.89
Utah,Kane,186,0.89
Kentucky,Casey,184,0.89
North Dakota,Mountrail,182,0.89
ALABAMA,LAMAR,157,0.89
Virginia,Clarke,133,0.89
ALABAMA,CLAY,132,0.89
Idaho,Buhl,112,0.89
Arkansas,Scott,105,0.89
North Dakota,Renville,57,0.89
South Dakota,Sanborn,18,0.89
Utah,Sevier,18,0.89
Utah,Utah D & B,18,0.89
Idaho,North Gem,9,0.89
Idaho,Culdesac,9,0.89
Utah,Alpine,9,0.89
Indiana,Daviess,0,0.89
Indiana,Dearborn,0,0.89
Indiana,Jackson,0,0.89
Indiana,Morgan,0,0.89
Indiana,Warrick,0,0.89
Kansas,CHEYENNE,0,0.89
Kansas,PHILLIPS,0,0.89
Kansas,RICE,0,0.89
Maine,Sagadahoc,0,0.89
MISSOURI,Ozark,0,0.89
MONTANA,Granite,0,0.89
MONTANA,Powder River,0,0.89
South Carolina,Aiken,0,0.89
South Carolina,Allendale,0,0.89
South Carolina,Clarendon,0,0.89
Texas,GAINES,0,0.89
West Virginia,Lewis,0,0.89
California,PLACER,5524,0.88
Pennsylvania,Dauphin,3519,0.88
California,MARIN,3334,0.88
Pennsylvania,Butler,1987,0.88
Rhode Island,Washington,1160,0.88
Vermont,Washington,652,0.88
Pennsylvania,Crawford,638,0.88
Utah,Jordan,551,0.88
ALABAMA,ESCAMBIA,483,0.88
Rhode Island,Bristol,472,0.88
Ohio,Morrow,394,0.88
MINNESOTA,CASS,343,0.88
Ohio,Paulding,256,0.88
Tennessee,Smith,229,0.88
Pennsylvania,Juniata,209,0.88
Idaho,Moscow,184,0.88
ALABAMA,LOWNDES,157,0.88
Tennessee,Decatur,116,0.88
Ohio,Harrison,115,0.88
Tennessee,Stewart,115,0.88
Kentucky,Crittenden,104,0.88
Idaho,Marsh Valley,91,0.88
Utah,Garfield,88,0.88
Kentucky,Carlisle,67,0.88
Idaho,Marsing,56,0.88
Virginia,Colonial Beach,42,0.88
Utah,Tintic,32,0.88
Utah,Wayne,32,0.88
North Dakota,Golden Valley,26,0.88
North Dakota,Nelson,24,0.88
Idaho,Cascade,17,0.88
Idaho,Rockland,8,0.88
ILLINOIS,CLAY,0,0.88
ILLINOIS,WAYNE,0,0.88
Indiana,Huntington,0,0.88
Indiana,Miami,0,0.88
Indiana,Newton,0,0.88
Indiana,Randolph,0,0.88
Indiana,Tipton,0,0.88
Indiana,Vigo,0,0.88
Kansas,COWLEY,0,0.88
Kansas,FORD,0,0.88
Kansas,HARPER,0,0.88
Kansas,JEFFERSON,0,0.88
Kansas,JOHNSON,0,0.88
Kansas,LINCOLN,0,0.88
Kansas,RILEY,0,0.88
Kansas,SEDGWICK,0,0.88
Kansas,SHERIDAN,0,0.88
Maine,Piscataquis,0,0.88
MISSOURI,Daviess,0,0.88
South Carolina,Georgetown,0,0.88
Texas,MARTIN,0,0.88
Arizona,Yavapai,1936,0.877
Virginia,Fairfax,14369,0.87
South Carolina,Abbeville,12791,0.87
Pennsylvania,Lancaster,6249,0.87
Ohio,Stark,4037,0.87
Pennsylvania,Cumberland,2508,0.87
California,SHASTA,2245,0.87
Pennsylvania,Monroe,1681,0.87
Utah,Nebo,1364,0.87
Utah,Millard,1136,0.87
North Dakota,Ward,1036,0.87
Rhode Island,Newport,765,0.87
Idaho,Madison,434,0.87
Ohio,Logan,429,0.87
Utah,Morgan,342,0.87
Kentucky,Webster,184,0.87
Idaho,Preston,172,0.87
ALABAMA,WASHINGTON,171,0.87
ALABAMA,CRENSHAW,142,0.87
Idaho,Orofino,70,0.87
Idaho,Salmon,47,0.87
Idaho,West Jefferson,30,0.87
Indiana,Franklin,0,0.87
Indiana,Fulton,0,0.87
Indiana,Harrison,0,0.87
Indiana,La Porte,0,0.87
Indiana,Monroe,0,0.87
Indiana,Montgomery,0,0.87
Indiana,Shelby,0,0.87
Indiana,Sullivan,0,0.87
Kansas,CHAUTAUQUA,0,0.87
Kansas,ELLSWORTH,0,0.87
Kansas,GOVE,0,0.87
Kansas,LABETTE,0,0.87
Kansas,LINN,0,0.87
Kansas,LOGAN,0,0.87
Kansas,MIAMI,0,0.87
Kansas,SCOTT,0,0.87
Maine,Cumberland,0,0.87
MICHIGAN,Calhoun,0,0.87
MONTANA,Lincoln,0,0.87
South Carolina,Richland,0,0.87
Washington,PIERCE,10747,0.86
Washington,SNOHOMISH,8140,0.86
Ohio,Summit,5470,0.86
California,SANTA CRUZ,3680,0.86
Washington,KITSAP,2753,0.86
Washington,SKAGIT,1539,0.86
Kentucky,Hardin,992,0.86
Kentucky,Scott,733,0.86
Pennsylvania,Bedford,489,0.86
ALABAMA,COVINGTON,471,0.86
California,LASSEN,358,0.86
Utah,Ogden,279,0.86
MINNESOTA,PIPESTONE,202,0.86
Kentucky,Garrard,201,0.86
Ohio,Vinton,186,0.86
Kentucky,Powell,176,0.86
Kentucky,Bath,173,0.86
Kentucky,Magoffin,173,0.86
Kentucky,Larue,171,0.86
California,PLUMAS,149,0.86
California,MONO,148,0.86
MINNESOTA,KANABEC,142,0.86
ALABAMA,GREENE,120,0.86
Kentucky,Gallatin,118,0.86
North Dakota,Mercer,110,0.86
MINNESOTA,WILKIN,86,0.86
Kentucky,Owsley,65,0.86
North Dakota,LaMoure,56,0.86
Virginia,West Point,44,0.86
Pennsylvania,Out of State,21,0.86
Idaho,Kendrick,14,0.86
South Dakota,Harding,14,0.86
Idaho,Cambridge,7,0.86
Indiana,Jay,0,0.86
Indiana,Wells,0,0.86
Kansas,NESS,0,0.86
Kansas,THOMAS,0,0.86
MICHIGAN,Crawford,0,0.86
MICHIGAN,Gratiot,0,0.86
MISSOURI,Shannon,0,0.86
MONTANA,Petroleum,0,0.86
South Carolina,Florence,0,0.86
Texas,SHACKELFORD,0,0.86
West Virginia,Braxton,0,0.86
Wisconsin,Outagamie,2575,0.85
Ohio,Lake,2310,0.85
Wisconsin,Winnebago,2192,0.85
Wisconsin,La Crosse,1612,0.85
Pennsylvania,Lawrence,939,0.85
Kentucky,Laurel,814,0.85
California,SISKIYOU,510,0.85
North Dakota,Williams,496,0.85
Wisconsin,Shawano,477,0.85
ALABAMA,LAWRENCE,463,0.85
Wisconsin,Green,452,0.85
Kentucky,Montgomery,422,0.85
Washington,WHITMAN,375,0.85
Kentucky,Ohio,335,0.85
Vermont,Lamoille,297,0.85
MINNESOTA,MARTIN,220,0.85
Kentucky,Carroll,190,0.85
ALABAMA,MONROE,171,0.85
Kentucky,Trimble,124,0.85
Idaho,Sugar-Salem,117,0.85
California,TRINITY,114,0.85
MINNESOTA,GRANT,104,0.85
Idaho,Filer,98,0.85
IOWA,Decatur ,75,0.85
Idaho,St. Maries,68,0.85
Idaho,Butte,39,0.85
Pennsylvania,Forest,27,0.85
Indiana,Putnam,0,0.85
Kansas,CHEROKEE,0,0.85
Kansas,DOUGLAS,0,0.85
Kansas,GREENWOOD,0,0.85
Maine,Hancock,0,0.85
MICHIGAN,Arenac,0,0.85
MICHIGAN,Huron,0,0.85
MICHIGAN,Mackinac,0,0.85
MICHIGAN,Mecosta,0,0.85
MICHIGAN,Montcalm,0,0.85
MICHIGAN,Muskegon,0,0.85
MISSOURI,St Francois,0,0.85
MONTANA,Ravalli,0,0.85
Nevada,clark,28555,0.84
Pennsylvania,Blair,1532,0.84
Wisconsin,Sheboygan,1508,0.84
Idaho,Charter,1355,0.84
Wisconsin,Jefferson,1043,0.84
ALABAMA,CHILTON,568,0.84
Virginia,Washington,525,0.84
North Dakota,Morton,404,0.84
Kentucky,Bell,386,0.84
Wisconsin,Lincoln,335,0.84
Kentucky,Logan,311,0.84
Wisconsin,Kewaunee,248,0.84
ALABAMA,CHEROKEE,242,0.84
Washington,PACIFIC,195,0.84
ALABAMA,BULLOCK,157,0.84
ALABAMA,PERRY,137,0.84
ALABAMA,WINSTON,122,0.84
Wisconsin,Menominee,105,0.84
Idaho,Wendell,98,0.84
Pennsylvania,Sullivan,63,0.84
North Dakota,Dunn,50,0.84
Indiana,Benton,0,0.84
Indiana,Delaware,0,0.84
Indiana,Grant,0,0.84
Indiana,Jefferson,0,0.84
Indiana,Noble,0,0.84
Indiana,Perry,0,0.84
Indiana,Wabash,0,0.84
Indiana,Wayne,0,0.84
Kansas,BOURBON,0,0.84
Kansas,CLOUD,0,0.84
Kansas,POTTAWATOMIE,0,0.84
Kansas,RUSH,0,0.84
Maine,Lincoln,0,0.84
MICHIGAN,Allegan,0,0.84
MICHIGAN,Alpena,0,0.84
MICHIGAN,Branch,0,0.84
MICHIGAN,Hillsdale,0,0.84
MICHIGAN,Ionia,0,0.84
MICHIGAN,Kalamazoo,0,0.84
MICHIGAN,Osceola,0,0.84
MICHIGAN,Ottawa,0,0.84
MICHIGAN,Wexford,0,0.84
MONTANA,Sanders,0,0.84
South Carolina,Jasper,0,0.84
Texas,REEVES,0,0.84
Ohio,Cuyahoga,13644,0.83
Ohio,Lucas,6213,0.83
Wisconsin,Washington,1755,0.83
Idaho,Private,1324,0.83
California,MENDOCINO,1191,0.83
ALABAMA,TALLADEGA,886,0.83
Wisconsin,Manitowoc,858,0.83
Wisconsin,Portage,841,0.83
Washington,ISLAND,747,0.83
Washington,WALLA WALLA,735,0.83
Nevada,carson city,653,0.83
Wisconsin,Calumet,650,0.83
California,CALAVERAS,408,0.83
Kentucky,Johnson,320,0.83
Idaho,Middleton,248,0.83
ALABAMA,PICKENS,200,0.83
Washington,KLICKITAT,199,0.83
Wisconsin,Washburn,181,0.83
Wisconsin,Adams,156,0.83
Idaho,Fremont,154,0.83
MINNESOTA,CLEARWATER,115,0.83
Idaho,Kamiah,36,0.83
North Dakota,Sheridan,6,0.83
ILLINOIS,RICHLAND,0,0.83
Indiana,Carroll,0,0.83
Indiana,Johnson,0,0.83
Indiana,Madison,0,0.83
Indiana,Tippecanoe,0,0.83
Kansas,CRAWFORD,0,0.83
Kansas,OSAGE,0,0.83
MICHIGAN,Barry,0,0.83
MICHIGAN,Clinton,0,0.83
MICHIGAN,Iron,0,0.83
MICHIGAN,Newaygo,0,0.83
MICHIGAN,Saginaw,0,0.83
MICHIGAN,Tuscola,0,0.83
Texas,JEFF DAVIS,0,0.83
Texas,KING,0,0.83
Texas,ROBERTS,0,0.83
Washington,WHATCOM,2200,0.82
Wisconsin,Marathon,1824,0.82
Wisconsin,Fond du Lac,1289,0.82
Ohio,Wayne,1133,0.82
Wisconsin,Wood,972,0.82
Wisconsin,Chippewa,864,0.82
Idaho,Coeur d Alene,731,0.82
Kentucky,Nelson,568,0.82
Wisconsin,Oconto,465,0.82
Idaho,Post Falls,412,0.82
ALABAMA,MARION,316,0.82
Idaho,Blackfoot,271,0.82
MINNESOTA,PINE,260,0.82
Wisconsin,Door,251,0.82
Kentucky,Harrison,235,0.82
Idaho,Lake Pend Oreille,232,0.82
California,MARIPOSA,168,0.82
Kentucky,Estill,156,0.82
Kentucky,Livingston,97,0.82
Washington,WAHKIAKUM,33,0.82
Virginia,Williamsburg city,28,0.82
Idaho,Horseshoe Bend,17,0.82
Indiana,Hendricks,0,0.82
Indiana,Steuben,0,0.82
Indiana,Union,0,0.82
Kansas,MARION,0,0.82
Kansas,MONTGOMERY,0,0.82
MICHIGAN,Bay,0,0.82
MICHIGAN,Cheboygan,0,0.82
MICHIGAN,Chippewa,0,0.82
MICHIGAN,Detroit,0,0.82
MICHIGAN,Eaton,0,0.82
MICHIGAN,Jackson,0,0.82
MICHIGAN,Kent,0,0.82
MICHIGAN,Shiawassee,0,0.82
MICHIGAN,Van Buren,0,0.82
MISSOURI,Hickory,0,0.82
MONTANA,Carter,0,0.82
Texas,LIPSCOMB,0,0.82
Washington,KING,24861,0.81
ALABAMA,MOBILE,6350,0.81
Wisconsin,Waukesha,4907,0.81
ALABAMA,WALKER,892,0.81
ALABAMA,COLBERT,685,0.81
ALABAMA,BLOUNT,594,0.81
Ohio,Clinton,529,0.81
North Dakota,Stark,473,0.81
Wisconsin,Iowa,329,0.81
Wisconsin,Jackson,258,0.81
ALABAMA,CHAMBERS,244,0.81
Wisconsin,Langlade,229,0.81
MINNESOTA,SIBLEY,181,0.81
Wisconsin,Price,116,0.81
Nevada,lander,113,0.81
Idaho,Kellogg,87,0.81
ILLINOIS,CRAWFORD,0,0.81
ILLINOIS,JASPER,0,0.81
ILLINOIS,MOULTRIE,0,0.81
Indiana,Bartholomew,0,0.81
Indiana,Kosciusko,0,0.81
Indiana,Porter,0,0.81
Kansas,CLARK,0,0.81
Kansas,DECATUR,0,0.81
Kansas,OSBORNE,0,0.81
Kansas,SUMNER,0,0.81
MICHIGAN,Iosco,0,0.81
MICHIGAN,Isabella,0,0.81
MICHIGAN,Lenawee,0,0.81
MICHIGAN,Macomb,0,0.81
MICHIGAN,Marquette,0,0.81
MICHIGAN,Missaukee,0,0.81
MICHIGAN,Sanilac,0,0.81
MICHIGAN,Wayne,0,0.81
Ohio,Hamilton,9844,0.8
Massachusetts,Suffolk,7747,0.8
Wisconsin,Brown,3968,0.8
Wisconsin,Racine,2968,0.8
Wisconsin,Walworth,1337,0.8
ALABAMA,ELMORE,1117,0.8
ALABAMA,DEKALB,931,0.8
Wisconsin,Waupaca,617,0.8
Washington,MASON,612,0.8
Florida,DeSoto,444,0.8
ALABAMA,TALLAPOOSA,417,0.8
Washington,OKANOGAN,409,0.8
Nevada,douglas,406,0.8
Wisconsin,Juneau,321,0.8
ALABAMA,RANDOLPH,258,0.8
ALABAMA,MARENGO,244,0.8
Wisconsin,Sawyer,238,0.8
ALABAMA,MACON,204,0.8
Wisconsin,Rusk,171,0.8
ALABAMA,SUMTER,144,0.8
ALABAMA,CLEBURNE,141,0.8
North Dakota,McLean,112,0.8
Idaho,Wallace,40,0.8
Idaho,Castleford,25,0.8
Idaho,Basin,25,0.8
North Dakota,Oliver,25,0.8
South Dakota,Sully,10,0.8
Idaho,Avery,1,0.8
ILLINOIS,CALHOUN,0,0.8
ILLINOIS,FAYETTE,0,0.8
Indiana,Switzerland,0,0.8
Indiana,Vanderburgh,0,0.8
Kansas,LYON,0,0.8
Kansas,SHAWNEE,0,0.8
MICHIGAN,Clare,0,0.8
MICHIGAN,Delta,0,0.8
MICHIGAN,Grand Traverse,0,0.8
MICHIGAN,Leelanau,0,0.8
MICHIGAN,Montmorency,0,0.8
MICHIGAN,Otsego,0,0.8
MICHIGAN,St Clair,0,0.8
MICHIGAN,St Joseph,0,0.8
South Carolina,Beaufort,0,0.8
Texas,HARTLEY,0,0.8
California,HUMBOLDT,1613,0.79
Wisconsin,Eau Claire,1326,0.79
Ohio,Ross,837,0.79
California,TUOLUMNE,462,0.79
Kentucky,Knox,438,0.79
Idaho,Cassia,417,0.79
Wisconsin,Oneida,371,0.79
Kentucky,Harlan,370,0.79
Idaho,Blaine,238,0.79
Wisconsin,Vilas,224,0.79
Kentucky,Mason,219,0.79
ALABAMA,FAYETTE,195,0.79
Idaho,Boundary,103,0.79
Idaho,Richfield,19,0.79
ILLINOIS,EDGAR,0,0.79
ILLINOIS,LEE,0,0.79
ILLINOIS,MARION,0,0.79
Indiana,Allen,0,0.79
Indiana,Marshall,0,0.79
Indiana,Parke,0,0.79
Kansas,GRAY,0,0.79
Kansas,GREELEY‡,0,0.79
MICHIGAN,Benzie,0,0.79
MICHIGAN,Charlevoix,0,0.79
MICHIGAN,Genesee,0,0.79
MICHIGAN,Gladwin,0,0.79
MICHIGAN,Ingham,0,0.79
